Region,"local authority: 
East of England,Mid Suffolk,"42,629","5,462",40,760,"1,191",466,"27,536","2,366",80,"1,624","2,932",172,"2,001"
East of England,North Hertfordshire,"58,814","5,797",106,"4,887","1,455",567,"35,174","3,151",245,"1,445","5,763",224,"2,001"
East of England,North Norfolk,"41,411","5,449",45,364,"1,187",480,"24,111","2,411",115,"2,002","4,849",398,"2,001"
East of England,Norwich,"53,606","3,567",41,471,"4,516",795,"23,489","3,322",262,"4,691","12,169",283,"2,001"
East of England,Peterborough,"73,295","5,524",64,"1,592","4,783",751,"42,282","5,769",384,"5,643","6,256",247,"2,001"
East of England,Rochford,"37,792","3,355",64,"5,755","1,454",399,"22,104","1,845",139,505,"2,055",117,"2,001"
East of England,South Cambridgeshire,"69,159","7,695",72,"1,835","2,771",964,"43,372","3,316",158,"4,666","3,989",321,"2,001"
East of England,South Norfolk,"52,626","6,326",46,391,"2,273",724,"34,184","3,086",81,"2,004","3,163",348,"2,001"
East of England,Southend-on-Sea,"70,177","5,617",142,"9,288","4,205",713,"35,852","3,811",397,"1,917","8,002",233,"2,001"
East of England,St Albans,"65,676","6,950",371,"9,784","1,755",537,"37,058","2,747",161,925,"5,152",236,"2,001"
East of England,St Edmundsbury,"50,181","5,081",39,267,"1,211",537,"31,340","3,542",255,"1,734","5,977",198,"2,001"
East of England,Stevenage,"39,576","2,779",85,"2,030","2,163",494,"24,065","3,152",187,"1,147","3,381",93,"2,001"
East of England,Suffolk Coastal,"52,327","5,937",80,832,"1,582",835,"32,851","2,838",139,"2,804","4,171",258,"2,001"
East of England,Tendring,"53,642","5,488",85,"2,654","1,427",621,"31,757","3,439",271,"2,419","5,202",279,"2,001"
East of England,Three Rivers,"40,565","4,136","3,265","1,848","1,149",473,"24,704","1,853",198,531,"2,243",165,"2,001"
East of England,Thurrock,"69,534","4,801",669,"9,298","3,037","1,026","40,041","4,438",505,"1,165","4,341",213,"2,001"
East of England,Uttlesford,"35,045","4,584",158,"2,670",369,271,"21,453","1,586",111,519,"3,155",169,"2,001"
East of England,Watford,"41,648","3,261","1,109","2,979","1,774",499,"23,186","2,012",202,941,"5,560",125,"2,001"
East of England,Waveney,"46,001","4,168",44,443,"1,868",794,"26,564","2,833",224,"3,880","4,445",738,"2,001"
East of England,Welwyn Hatfield,"46,157","4,131",349,"3,990","1,465",467,"26,900","2,567",240,"1,269","4,605",174,"2,001"
London,Barking and Dagenham,"65,864","4,010","10,469","7,192","6,933","1,032","27,006","2,864",507,"1,021","4,665",165,"2,001"
London,Barnet,"145,920","15,467","33,433","7,631","12,906","1,661","59,224","4,071",898,"1,351","8,772",506,"2,001"
London,Bexley,"103,629","7,537",906,"24,757","7,740","2,018","48,467","4,126",907,"1,039","5,878",254,"2,001"
London,Brent,"118,704","10,886","30,793","7,328","15,273","1,139","39,643","3,222",464,"1,933","7,614",409,"2,001"
London,Bromley,"141,497","12,653","2,826","39,030","9,547","2,109","59,775","4,235",741,"1,333","8,792",456,"2,001"
London,Camden,"91,868","9,860","29,596","5,299","11,480","1,250","13,703","1,073",958,"3,362","14,654",633,"2,001"
London,City of London,"4,290",432,937,149,214,30,263,14,77,74,"2,049",51,"2,001"
London,Croydon,"156,741","13,372","6,553","32,819","18,259","2,031","62,940","4,978",756,"1,615","12,705",713,"2,001"
London,Ealing,"143,766","12,256","33,620","6,892","15,376","1,642","55,957","4,170",432,"3,157","9,748",516,"2,001"
London,Enfield,"121,257","9,985","15,728","12,304","12,193","1,312","55,098","4,165",843,"1,437","7,839",353,"2,001"
London,Greenwich,"91,586","6,581","7,024","22,144","12,354","1,483","30,848","2,669",565,"1,336","6,295",287,"2,001"
London,Hackney,"79,226","6,937","14,369","5,235","20,575","1,227","16,052","1,172",577,"4,940","7,811",331,"2,001"
London,Hammersmith and Fulham,"83,023","7,376","31,245","3,046","8,892","1,828","14,921",857,420,"3,942","10,068",428,"2,001"
London,Haringey,"95,732","8,416","33,295","5,983","12,319","1,202","24,284","1,580",310,"2,388","5,657",298,"2,001"
London,Harrow,"97,759","9,644","19,408","4,758","6,877",742,"45,321","3,124",505,848,"6,180",352,"2,001"
London,Havering,"104,537","7,500","8,067","18,600","7,381","1,379","48,864","4,188",960,914,"6,407",277,"2,001"
London,Hillingdon,"117,044","9,624","11,327","3,583","10,327","1,433","65,142","4,766",515,"2,019","7,933",375,"2,001"
London,Hounslow,"103,623","8,667","13,112","5,671","12,314","1,448","46,771","3,479",301,"3,185","8,265",410,"2,001"
London,Islington,"79,855","6,711","22,514","3,700","15,238","1,126","12,415","1,011",990,"3,770","11,972",408,"2,001"
London,Kensington and Chelsea,"75,571","10,259","26,358","2,074","7,951","1,278","12,748","1,094","1,465","2,130","9,529",685,"2,001"
London,Kingston upon Thames,"74,893","6,783","1,877","14,625","6,303","1,297","31,808","2,045",297,"2,331","7,207",320,"2,001"
London,Lambeth,"130,736","9,873","38,538","18,848","19,277","2,350","24,736","1,504",440,"5,407","9,250",513,"2,001"
London,Lewisham,"114,583","8,350","10,094","33,003","15,797","1,656","32,833","2,482",499,"2,121","7,342",406,"2,001"
London,Merton,"94,943","8,052","18,905","16,184","7,513","1,422","31,369","2,087",365,"2,220","6,485",341,"2,001"
London,Newham,"86,428","7,053","26,251","8,351","10,497",728,"23,324","1,956",413,"1,188","6,351",316,"2,001"
London,Redbridge,"106,114","8,967","24,530","9,970","6,696","1,180","42,604","3,253","1,451",966,"6,115",382,"2,001"
London,Richmond upon Thames,"89,408","9,852","7,449","16,793","6,314","1,537","34,645","1,747",229,"3,493","6,881",468,"2,001"
London,Southwark,"107,868","8,313","20,228","12,694","23,848","1,642","21,939","1,620",718,"3,965","12,202",699,"2,001"
London,Sutton,"90,291","7,411","3,175","14,110","6,392","1,673","44,142","3,402",506,"1,930","7,260",290,"2,001"
London,Tower Hamlets,"73,938","5,658","27,597","3,772","7,685",835,"12,228","1,021",786,"2,213","11,667",476,"2,001"
London,Waltham Forest,"97,777","6,735","26,849","9,326","9,300","1,155","32,126","2,553",786,"1,708","6,915",324,"2,001"
London,Wandsworth,"141,191","10,809","39,731","25,290","14,266","3,179","28,757","1,747",474,"5,498","10,863",577,"2,001"
London,Westminster,"89,472","9,906","28,420","3,253","11,071","1,123","11,809","1,103","1,453","2,496","17,969",869,"2,001"
South East,Adur,"27,166","2,458",15,"1,615","1,447",376,"16,044","1,668",93,"1,083","2,265",102,"2,001"
South East,Arun,"60,400","6,326",44,"1,975","1,429",744,"36,695","3,667",354,"3,058","5,808",300,"2,001"
South East,Ashford,"48,872","5,541",53,"2,620","1,409",428,"29,466","3,171",143,"1,330","4,483",228,"2,001"
South East,Aylesbury Vale,"86,232","9,545",134,"3,260","2,010",680,"54,767","4,744",497,"1,781","8,475",339,"2,001"
South East,Basingstoke and Deane,"82,628","7,768",68,"3,262","3,079",730,"52,556","5,407",290,"1,983","7,172",313,"2,001"
South East,Bracknell Forest,"60,010","5,431",53,"2,133","1,565",603,"39,462","3,344",236,"1,672","5,240",271,"2,001"
South East,Brighton and Hove,"117,551","10,870",202,"9,854","14,642",953,"50,733","5,730",623,"3,168","20,162",614,"2,001"
South East,Canterbury,"57,035","5,696",90,"2,206","1,984",579,"32,213","3,650",268,"1,744","8,283",322,"2,001"
South East,Cherwell,"70,240","6,779",60,"1,177","3,465",698,"42,743","4,604",257,"2,755","7,435",267,"2,001"
South East,Chichester,"47,996","6,476",78,"1,603",918,425,"27,891","2,525",109,"2,052","5,588",331,"2,001"
South East,Chiltern,"43,123","5,691","1,991","2,590",511,324,"26,461","1,803",114,457,"3,004",177,"2,001"
South East,Crawley,"51,470","3,667",40,"3,166","3,220",463,"31,319","3,430",427,"1,507","4,034",197,"2,001"
South East,Dartford,"42,255","3,044",95,"5,902","1,944",799,"23,813","2,551",299,477,"3,217",114,"2,001"
South East,Dover,"45,040","3,864",40,"1,086","1,618",595,"26,900","3,395",449,"1,216","5,586",291,"2,001"
South East,East Hampshire,"55,117","6,472",55,"2,396",860,527,"35,345","2,849",101,"1,132","5,030",350,"2,001"
South East,Eastbourne,"36,713","3,146",39,"1,619","2,177",341,"20,228","2,422",261,"1,269","5,016",195,"2,001"
South East,Eastleigh,"60,532","5,175",42,"1,523","2,432",966,"40,537","3,631",93,"1,686","4,201",246,"2,001"
South East,Elmbridge,"58,786","7,238",333,"9,351","1,102",863,"32,595","1,926",154,"1,630","3,304",290,"2,001"
South East,Epsom and Ewell,"33,199","3,066",326,"5,293",902,547,"18,045","1,233",181,812,"2,661",133,"2,001"
South East,Fareham,"54,358","4,658",42,"1,577","1,487","1,002","36,058","3,137",184,"2,109","3,642",462,"2,001"
South East,Gosport,"37,295","2,530",35,467,"2,441",866,"19,595","2,310",183,"3,977","4,396",495,"2,001"
South East,Gravesham,"43,960","3,617",86,"3,453","3,641",599,"24,877","3,252",174,563,"3,520",178,"2,001"
South East,Guildford,"67,097","6,981",124,"5,695","2,140",603,"38,687","3,150",152,"1,696","7,500",369,"2,001"
South East,Hart,"45,499","4,871",58,"2,451",591,462,"30,312","1,962",96,"1,208","3,204",284,"2,001"
South East,Hastings,"35,498","3,075",36,"1,532","1,925",420,"19,422","2,959",339,534,"5,111",145,"2,001"
South East,Havant,"53,011","4,293",24,"1,288","2,802",712,"33,321","3,976",384,"1,993","3,972",246,"2,001"
South East,Horsham,"61,172","7,127",54,"3,452","1,171",481,"38,916","2,920",93,"1,216","5,489",253,"2,001"
South East,Isle of Wight,"54,483","5,796",86,633,"2,144","1,065","29,508","3,240",109,"1,658","9,081","1,163","2,001"
South East,Lewes,"41,137","4,672",39,"2,511","2,266",405,"23,357","2,352",226,679,"4,461",169,"2,001"
South East,Maidstone,"69,471","7,003",71,"4,260","2,965",603,"42,182","3,954",186,862,"7,096",289,"2,001"
South East,Medway,"119,260","9,084",194,"9,369","6,519","1,578","70,078","8,515",413,"1,620","11,381",509,"2,001"
South East,Mid Sussex,"64,744","6,920",60,"6,999",943,536,"38,244","3,286",215,970,"6,270",301,"2,001"
South East,Milton Keynes,"108,075","9,253",151,"3,909","5,118","1,010","67,986","8,732",871,"3,265","7,405",375,"2,001"
South East,Mole Valley,"39,164","4,954",102,"4,141",449,382,"23,274","1,595",91,648,"3,327",201,"2,001"
South East,New Forest,"77,054","8,607",84,"1,378","1,835","1,110","50,454","4,099",137,"3,293","5,384",673,"2,001"
South East,Oxford,"60,093","5,068",116,"1,079","9,814",637,"22,638","2,533",209,"8,927","8,826",246,"2,001"
South East,Portsmouth,"87,019","5,872",76,"2,094","7,471","1,104","43,922","5,690","1,131","6,160","12,894",605,"2,001"
South East,Reading,"73,600","5,452",98,"4,737","8,953",704,"35,187","3,655",218,"3,028","11,306",262,"2,001"
South East,Reigate and Banstead,"64,184","6,475",257,"7,280","1,432",778,"38,012","2,899",379,"1,021","5,382",269,"2,001"
South East,Rother,"33,380","4,725",43,"1,961",610,337,"19,585","1,863",93,477,"3,537",149,"2,001"
South East,Runnymede,"39,037","3,700",141,"2,516",560,477,"25,170","1,695",117,"1,294","3,210",157,"2,001"
South East,Rushmoor,"49,923","4,219",33,"2,221","1,292",691,"30,597","3,051",187,"2,032","5,378",222,"2,001"
South East,Sevenoaks,"52,029","5,948",102,"8,473","1,020",677,"28,837","2,303",206,481,"3,783",199,"2,001"
South East,Shepway,"41,815","4,192",48,"1,124","1,578",435,"24,843","3,038",230,877,"5,210",240,"2,001"
South East,Slough,"58,399","4,265",312,"2,715","2,572",517,"35,611","3,965",491,"1,714","6,035",202,"2,001"
South East,South Bucks,"30,135","3,960",389,"1,734",446,245,"19,601","1,289",95,456,"1,768",152,"2,001"
South East,South Oxfordshire,"66,738","7,883",99,"2,869","1,821",734,"41,293","3,259",108,"2,502","5,889",281,"2,001"
South East,Southampton,"98,210","6,511",79,"1,991","11,223","1,495","52,002","6,769",372,"4,226","13,063",479,"2,001"
South East,Spelthorne,"46,924","3,998",385,"2,898","1,753",785,"30,349","1,900",134,"1,452","3,108",162,"2,001"
South East,Surrey Heath,"42,608","4,593",61,"2,029",732,387,"28,908","1,902",83,828,"2,903",182,"2,001"
South East,Swale,"55,712","5,107",60,"3,649","1,576",673,"32,896","3,775",217,"1,547","5,975",237,"2,001"
South East,Tandridge,"39,166","4,760",99,"5,266",933,462,"22,834","1,635",133,310,"2,536",198,"2,001"
South East,Test Valley,"57,137","5,899",57,"1,293","1,655",689,"36,692","3,566",183,"1,667","5,157",279,"2,001"
South East,Thanet,"49,197","4,443",64,"1,315","2,717",662,"27,461","3,809",603,"1,577","6,278",268,"2,001"
South East,Tonbridge and Malling,"53,038","5,282",62,"5,150","1,458",624,"31,938","2,921",127,920,"4,370",186,"2,001"
South East,Tunbridge Wells,"50,864","5,808",72,"6,259","1,290",401,"26,889","2,619",141,616,"6,516",253,"2,001"
South East,Vale of White Horse,"59,832","6,241",59,"1,090","3,091",770,"36,040","3,220",69,"4,031","4,981",240,"2,001"
South East,Waverley,"56,396","7,082",81,"4,709","1,217",508,"34,073","2,582",93,977,"4,764",310,"2,001"
South East,Wealden,"64,514","8,893",81,"3,560","1,501",497,"40,569","3,380",189,725,"4,810",309,"2,001"
South East,West Berkshire,"77,568","8,501",91,"3,032","3,419",752,"48,136","4,359",151,"2,071","6,712",344,"2,001"
South East,West Oxfordshire,"50,469","5,796",67,765,"2,340",470,"31,113","2,851",89,"2,459","4,310",209,"2,001"
South East,Winchester,"53,306","6,387",58,"2,178","1,722",528,"31,335","2,620",110,"1,012","6,987",369,"2,001"
South East,Windsor and Maidenhead,"68,149","7,805",214,"4,320","1,198",647,"42,284","2,877",247,"1,908","6,250",399,"2,001"
South East,Woking,"46,258","4,296",103,"5,445","1,022",477,"27,255","2,287",185,"1,232","3,782",174,"2,001"
South East,Wokingham,"81,279","8,675",87,"4,273","3,608",750,"52,962","3,457",162,"2,153","4,878",274,"2,001"
South East,Worthing,"44,180","3,841",31,"1,968","1,284",537,"25,395","2,721",314,"2,336","5,581",172,"2,001"
South East,Wycombe,"81,954","8,931",420,"3,083","2,853",806,"52,982","4,171",164,"1,196","7,068",280,"2,001"
South West,Bath and North East Somerset,"80,257","8,258",80,"1,951","6,163","1,106","43,561","4,522",226,"1,949","12,095",346,"2,001"
South West,Bournemouth,"72,395","6,988",82,"1,019","5,306","1,221","42,140","4,251",252,"2,892","7,911",333,"2,001"
South West,"Bristol, City of","177,057","12,944",164,"1,515","22,244","2,746","89,525","11,082",550,"8,108","27,607",572,"2,001"
South West,Cheltenham,"53,099","4,641",40,376,"2,503",637,"28,972","3,059",163,"3,661","8,852",195,"2,001"
South West,Christchurch,"18,143","1,788",17,275,728,256,"11,710",950,52,824,"1,460",83,"2,001"
South West,Cornwall,"212,989","29,613",153,"1,346","5,780","3,370","124,554","14,135",842,"3,618","27,427","2,151","2,001"
South West,Cotswold,"39,280","5,842",99,421,537,363,"23,701","2,173",70,"1,119","4,706",249,"2,001"
South West,East Devon,"52,509","7,932",46,945,"1,354",715,"30,163","3,082",155,"1,096","6,425",596,"2,001"
South West,East Dorset,"37,060","4,556",22,192,577,536,"26,050","1,955",40,"1,025","1,938",169,"2,001"
South West,Exeter,"51,634","4,016",52,462,"4,998",876,"25,462","3,459",143,"2,304","9,661",201,"2,001"
South West,Forest of Dean,"37,549","4,551",18,135,"1,091",427,"24,523","2,722",49,500,"3,335",198,"2,001"
South West,Gloucester,"52,525","3,767",24,228,"3,433",809,"31,616","3,697",90,"3,181","5,514",166,"2,001"
South West,Isles of Scilly,"1,270",295,-,4,4,32,224,26,6,152,499,28,"2,001"
South West,Mendip,"48,881","6,295",26,281,817,554,"30,170","2,893",157,"1,337","6,124",227,"2,001"
South West,Mid Devon,"32,847","5,454",22,130,800,426,"19,161","1,931",59,767,"3,924",173,"2,001"
South West,North Devon,"39,316","6,041",25,106,"1,217",600,"20,805","2,447",97,"1,414","6,328",236,"2,001"
South West,North Dorset,"28,730","4,052",34,256,400,302,"16,667","1,469",82,725,"4,583",160,"2,001"
South West,North Somerset,"88,733","9,657",56,"1,327","4,332","1,222","55,921","5,612",300,"2,260","7,722",324,"2,001"
South West,Plymouth,"106,295","7,008",68,363,"12,694","2,282","57,205","8,316",641,"2,806","14,035",877,"2,001"
South West,Poole,"64,217","5,683",54,715,"3,308","1,121","40,322","4,084",150,"2,791","5,661",328,"2,001"
South West,Purbeck,"20,333","2,417",17,334,351,328,"12,412","1,237",59,713,"2,299",166,"2,001"
South West,Sedgemoor,"48,146","5,713",22,185,916,687,"29,746","2,928",121,"2,992","4,594",242,"2,001"
South West,South Gloucestershire,"127,755","10,907",54,826,"8,291","2,300","83,580","8,062",205,"3,782","9,339",409,"2,001"
South West,South Hams,"37,003","5,843",39,221,827,615,"21,591","2,008",93,426,"4,953",387,"2,001"
South West,South Somerset,"71,240","8,262",70,303,"1,321","1,108","43,594","4,308",166,"2,622","9,166",320,"2,001"
South West,Stroud,"52,389","6,312",51,413,"1,262",650,"34,449","3,258",54,"1,048","4,720",172,"2,001"
South West,Swindon,"93,953","6,657",38,865,"7,184","1,658","55,409","6,830",531,"4,777","9,712",292,"2,001"
South West,Taunton Deane,"48,052","5,238",35,298,"1,164",879,"27,657","2,899",93,"3,190","6,338",261,"2,001"
South West,Teignbridge,"53,228","6,828",34,616,"1,584",867,"33,132","3,359",115,700,"5,712",281,"2,001"
South West,Tewkesbury,"38,103","4,107",29,156,"1,673",439,"24,547","2,122",65,"1,908","2,933",124,"2,001"
South West,Torbay,"53,543","5,807",35,270,"2,437",950,"30,218","4,038",220,831,"8,371",366,"2,001"
South West,Torridge,"25,522","4,634",10,65,544,370,"14,083","1,740",72,318,"3,492",194,"2,001"
South West,West Devon,"22,208","3,960",25,143,462,230,"12,865","1,213",62,251,"2,807",190,"2,001"
South West,West Dorset,"39,912","6,110",65,338,685,498,"23,103","2,152",140,"1,026","5,515",280,"2,001"
South West,West Somerset,"14,393","2,617",17,62,290,137,"7,395",702,37,486,"2,543",107,"2,001"
South West,Weymouth and Portland,"28,263","2,430",14,239,"2,306",613,"15,670","2,069",171,946,"3,601",204,"2,001"
South West,Wiltshire,"217,278","24,185",278,"3,790","5,985","2,586","131,430","13,092",539,"7,885","26,396","1,112","2,001"
Wales,Anglesey,"26,167","3,260",15,148,598,205,"16,442","2,089",110,448,"2,610",242,"2,001"
Wales,Blaenau Gwent,"25,133","1,445",3,75,"1,010",142,"15,507","3,384",201,146,"3,135",85,"2,001"
Wales,Bridgend,"52,865","3,702",27,596,"2,201",412,"34,224","5,626",342,502,"4,972",261,"2,001"
Wales,Caerphilly,"67,295","4,388",26,"1,806","3,592",490,"42,288","7,647",375,466,"6,008",209,"2,001"
Wales,Cardiff,"130,270","8,691",97,"2,567","14,266",776,"72,780","9,299",549,"3,514","17,196",535,"2,001"
Wales,Carmarthenshire,"67,558","9,742",41,485,"1,704",482,"41,940","5,641",257,716,"6,099",451,"2,001"
Wales,Ceredigion,"29,653","5,789",20,97,798,163,"16,263","2,082",95,309,"3,837",200,"2,001"
Wales,Conwy,"43,731","5,605",29,331,"1,823",299,"26,391","3,201",218,740,"4,742",352,"2,001"
Wales,Denbighshire,"38,277","4,426",16,300,"1,011",232,"23,446","3,205",257,697,"4,390",297,"2,001"
Wales,Flintshire,"69,452","5,415",40,419,"2,704",715,"47,456","5,778",421,"1,189","4,988",327,"2,001"
Wales,Gwynedd,"46,911","6,984",20,265,"1,924",237,"26,230","3,467",179,741,"6,566",298,"2,001"
Wales,Merthyr Tydfil,"19,887","1,225",4,220,"1,620",89,"11,868","2,433",125,111,"2,125",67,"2,001"
Wales,Monmouthshire,"38,313","4,948",24,469,651,367,"24,645","2,551",141,474,"3,823",220,"2,001"
Wales,Neath Port Talbot,"50,051","3,301",36,485,"2,442",497,"31,985","5,289",260,674,"4,794",288,"2,001"
Wales,Newport,"56,325","3,811",36,773,"5,554",534,"34,077","4,982",286,820,"5,249",203,"2,001"
Wales,Pembrokeshire,"44,897","7,377",41,169,"1,353",332,"25,793","3,672",199,364,"5,190",407,"2,001"
Wales,Powys,"56,925","11,422",35,202,672,336,"32,126","3,461",168,739,"7,379",385,"2,001"
Wales,"Rhondda, Cynon, Taff","88,385","5,612",31,"2,254","4,942",553,"54,458","10,898",218,449,"8,561",409,"2,001"
Wales,Swansea,"88,111","6,655",62,450,"6,387",678,"55,159","8,344",603,"1,024","8,232",517,"2,001"
Wales,The Vale of Glamorgan,"52,118","4,409",48,"2,045","2,278",514,"32,968","3,975",266,980,"4,364",271,"2,001"
Wales,Torfaen,"36,852","2,267",23,255,"1,643",341,"24,201","3,831",309,378,"3,483",121,"2,001"
Wales,Wrexham,"57,080","4,849",23,208,"3,149",494,"36,116","5,671",396,908,"4,989",277,"2,001"
